no,romaji,kana,kanji,meaning_mm
9195,yomu,よむ,読む,ဖတ်သည်
9196,yome,よめ,嫁,သတို့သမီး
9197,yomoya,よもや,,လုံးဝ(မဖြစ်နိုင်)
9198,yoyaku(suru),よやく（する）,予約（する）,ကြိုတင်မှာကြားခြင်း
9199,yoyū,よゆう,余裕,အပိုအလျှံ၊ချောင်လည်ခြင်း
9200,〜yori,〜より,,...ထက်ပို၊ -ဘက်လိုက်ခြင်း
9201,yorikakakakaru,よりかかかかる,寄り掛かかる,မှီသည်
9202,yorimichi,よりみち,寄り道,လမ်းများခြင်း၊လမ်းသလားခြင်း
9203,yoru,よる,寄る,လမ်းကြုံဝင်သည်
9204,yoru,よる,因る,အကြောင်းပြုသည်
9205,yoru,よる,夜,ည
9206,yorokobi/yorokobi,よろこび／よろこび,喜び／慶び,ဝမ်းသာမှု၊ပျော်ရွှင်မှု၊ပီတိ
9207,yorokobu,よろこぶ,喜ぶ,ဝမ်းသာသည်
9208,yoroshii,よろしい,,ကောင်းသော၊အဆင်ပြေသော
9209,seron,せろん,世論,ပြည်သူ့ထင်မြင်ချက်
9210,yowai,よわい,弱い,အားနည်းသော
9211,yowaki,よわき,弱気,စိတ်အားငယ်တတ်ခြင်း၊အားငယ်တတ်သောစိတ်
9212,yowamaru,よわまる,弱まる,အားလျော့သည်(လေမိုးနှင်းမုန်တိုင်းအစရှိသောအင်အား)
9213,yowameru,よわめる,弱める,အားလျော့စေသည်
9214,yowaru,よわる,弱る,အားလျော့သည်(သက်ရှိသတ္တဝါ)၊ ဒုက္ခရောက်သည်
9215,yon,よん,四,လေး
9216,〜ra,〜ら,等,တို့
9217,raion,ライオン,lion,ခြင်္သ့
9218,raigetsu,らいげつ,来月,လာမည့်လ
9219,raishū,らいしゅう,来週,လာမည့်အပတ်
9220,raijō(suru),らいじょう（する）,来場（する）,တက်ရောက်ခြင်း၊လာရောက်ခြင်း
9221,raisu,ライス,rice,ထမင်းဖြူ
9222,raitā,ライター,lighter,ဓာတ်မီးခြစ်
9223,rainichi(suru),らいにち（する）,来日（する）,ဂျပန်ပြည်သို့လာခြင်း
9224,rainen,らいねん,来年,လာမယ့်နှစ်
9225,raibaru,ライバル,rival,ပြိုင်ဘက်
9226,raku(na),らく（な）,楽（な）,သက်တောင့်သက်သာဖြစ်သော
9227,rakugo,らくご,落語,ဟာသဟောပြောပွဲ
9228,rakudai(suru),らくだい（する）,落第（する）,စာမေးပွဲကျခြင်း
9229,rakunō,らくのう,酪農,တိရိစ္ဆာန်မွေးမြူရေး
9230,raketto,ラケット,racket,ဘတ်တန်(တင်းနစ်ရိုက်တန်)
9231,rajio,ラジオ,radio,ရေဒီယို
9232,rajikase,ラジカセ,radio-cassette recorder,ရေဒီယိုကတ်ဆက်
9233,rakka(suru),らっか（する）,落下（する）,အောက်ကျခြင်း
9234,rakkan(suru),らっかん（する）,楽観（する）,အကောင်းဘက်ကရှုမြင်ခြင်း
9235,rakkī(na),ラッキー（な）,lucky,ကံကောင်းသော
9236,rasshuawā,ラッシュアワー,rush hour,လူကြပ်ချိန်၊ရုံးတက်ရုံးဆင်းချိန်
9237,rafu(na),ラフ（な）,rough,အကြမ်းဖျင်းဖြစ်သော၊မညီမညာကြမ်းတမ်းသော
9238,raberu,ラベル,label,အမှတ်တံဆိပ်
9239,raretsu(suru),られつ（する）,羅列（する）,စီတန်းစေသည်၊အစဥ်လိုက်ထားသည်
9240,ran,らん,欄,ကော်လန်
9241,rankingu,ランキング,ranking,အဆင့်၊အဆင့်သတ်မှတ်ပေးခြင်း
9242,ranzatsu(na),らんざつ（な）,乱雑（な）,ရှုပ်ပွနေသော
9243,ranshi,らんし,卵子,မသန္ဓေမျိုးစေ့
9244,ransei,らんせい,乱世,ဖရိုဖရဲခေတ်
9245,ranchi,ランチ,lunch,နေ့လယ်စာ
9246,ranningu,ランニング,running,ပြေးခြင်း
9247,rampu,ランプ,lamp,မီးအိမ်
9248,rambō(suru),らんぼう（する）,乱暴（する）,အဓမ္မပြုလုပ်ခြင်း၊ရိုင်းစိုင်းခြင်း၊အကြမ်းဖက်ခြင်း
9249,ran'yō(suru),らんよう（する）,濫用（する）,စည်းမဲ့ကမ်းမဲ့သုံးဖြုန်းခြင်း
9250,riaru(na),リアル（な）,real,မျက်မြင်ဖြစ်သော
9251,rīzunaburu(na),リーズナブル（な）,reasonable,ကျေနပ်လောက်သော၊စျေးတန်သော
9252,rīdo(na),リード（な）,lead,ဦးဆောင်ခြင်း၊ရှေ့ဆောင်ခြင်း၊သူများထက်သာခြင်း
9253,rieki,りえき,利益,အကျိုးအမြတ်
9254,rika,りか,理科,သိပ္ပံပညာ
9255,rigai,りがい,利害,အကျိုးအပြစ်
9256,rikai(suru),りかい（する）,理解（する）,နားလည်မှု
9257,riku,りく,陸,ကုန်းမြေ
9258,rikuchi,りくち,陸地,ကုန်းမြေ၊ကုန်းမြေပိုင်း
9259,rikutsu,りくつ,理屈,သဘောတရား
9260,rikutsuppoi,りくつっぽい,理屈っぽい,သဘောလောက်ပဲစဥ်းစားသော၊သဘောတရားများသော
9261,rikō(na),りこう（な）,利口（な）,လိမ္မာပါးနပ်သော
9262,rikoteki(na),りこてき（な）,利己的（な）,တကိုယ်ကောင်းစိတ်ရှိသော
9263,rikon(suru),りこん（する）,離婚（する）,လင်မယားကွာရှင်းပြတ်စဲခြင်း
9264,risaikuru(suru),リサイクル（する）,recycle,ပြန်လည်အသုံးပြုခြင်း
9265,rishi,りし,利子,အတိုး
9266,rishū(suru),りしゅう（する）,履修（する）,သင်ယူလေ့လာခြင်း
9267,rishūtodoke,りしゅうとどけ,履修届け,ဘာသာရွေးချယ်မှုကိုအကြောင်းကြားခြင်း
9268,rijun,りじゅん,利潤,အမြတ်အစွန်း
9269,risūkei,りすうけい,理数系,သိပ္ပံဘာသာတွဲ
9270,risuto,リスト,list,စာရင်း
9271,risutora(suru),リストラ（する）,restructuring,အလုပ်သမားဦးရေလျှော့ခြင်း
9272,rizumu,リズム,rhythm,သံစဥ်၊အသံညီစည်းချက်ဝါးချက်ကျခြင်း
9273,risei,りせい,理性,ဆင်ခြင်တုံတရား၊ဝိပဿနာဥာဏ်
9274,risō,りそう,理想,စံပြ၊အကောင်းဆုံး၊စိတ်ကူးမျှော်လင့်ချက်
9275,rizōto,リゾート,resort,အပန်းဖြေစခန်း
9276,risoku,りそく,利息,အတိုးငွေ
9277,ritānkī,リターンキー,return key,ရှေ့ကိုပြန်ရောက်စေမည့်ခလုတ်
9278,richigi(na),りちぎ（な）,律儀（な）,ရိုးသားဖြောင့်မတ်သော
9279,ritsu,りつ,率,အချိုးအစား၊နှုန်း
9280,ritsuan(suru),りつあん（する）,立案（する）,မူကြမ်းဆွဲခြင်း
9281,rikkyō,りっきょう,陸橋,ခုံးတံတား၊လမ်းကျော်တံတား
9282,rittai,りったい,立体,သုံးဘက်မြင်အရာ၊ထုပုံ
9283,rittoru,リットル,liter,လီတာ
9284,rippa(na),りっぱ（な）,立派（な）,ခန့်ညားသော
9285,rippō,りっぽう,立方,အန်စာပုံ၊ထုထည်
9286,rippō,りっぽう,立法,ဥပဒေပြုခြင်း
9287,rippōtai,りっぽうたい,立方体,စတုရန်း
9288,riten,りてん,利点,အကျိုးအမြတ်ရှိသောအချက်၊ကောင်းကွက်
9289,rinen,りねん,理念,အခြေခံသဘောတရား
9290,rihatsu(na),りはつ（な）,利発（な）,လိမ်မ္မာပါးနပ်သော
9291,rihabiri(suru),リハビリ（する）,rihabilitation,ရောဂါ၊ဒဏ်ရာကိုပြန်ကောင်းအောင်လေ့ကျင့်ခြင်း
9292,rihabiritēshon,リハビリテーション,rihabilitation,ပြန်လည်နာလန်ထအောင်လေ့ကျင့်ခြင်း
9293,rifuresshu(suru),リフレッシュ（する）,refresh,စိတ်ကိုလန်းဆန်းစေခြင်း
9294,ribon,リボン,ribbon,ဖဲကြိုး
9295,rimokon,リモコン,remote control,အဝေးမှထိန်းသည့်ကိရိယာ၊အဝေးမှထိန်းနိုင်သောစက်
9296,ryakugo,りゃくご,略語,အတိုကောက်ရေးသားသောစကားလုံး
9297,ryakusu(suru),りゃくす（する）,略す（する）,အတိုကောက်ရေးသည်
9298,ryakudatsu(suru),りゃくだつ（する）,略奪（する）,လုယက်ခြင်း
9299,riyū,りゆう,理由,အကြောင်းပြချက်
9300,ryūiki,りゅういき,流域,မြစ်ဝှမ်းဒေသ
9301,ryūgaku(suru),りゅうがく（する）,留学（する）,ပညာတော်သင်
9302,ryūgakusei,りゅうがくせい,留学生,ပညာတော်သင်ကျောင်းသား
9303,ryūkō(suru),りゅうこう（する）,流行（する）,ခေတ်စားမှု၊ခေတ်ရေပန်းစားမှု
9304,ryūshi,りゅうし,粒子,အလွန်သေးငယ်သည့်အပိုင်း
9305,ryūtsū(suru),りゅうつう（する）,流通（する）,ကုန်ပစ္စည်းလည်ပတ်မှု
9306,ryūdō(suru),りゅうどう（する）,流動（する）,ရွှေ့ပြောင်းခြင်း
9307,ryō,りょう,量,ပမာဏ
9308,ryō,りょう,寮,အဆောင်
9309,ryō〜,りょう〜,両,နှစ်ဖက်
9310,riyō(suru),りよう（する）,利用（する）,လက်တွေ့အသုံးပြုခြင်း
9311,ryōiki,りょういき,領域,နယ်မြေအစိတ်အပိုင်း
9312,ryōkai,りょうかい,領海,ပင်လယ်နယ်နိမိတ်၊ရေပိုင်နက်
9313,ryōkai(suru),りょうかい（する）,了解（する）,သဘောပေါက်ခြင်း
9314,ryōgae(suru),りょうがえ（する）,両替（する）,ငွေလဲလှယ်ခြင်း
9315,ryōgawa,りょうがわ,両側,နှစ်ဖက်စလုံး
9316,ryōkyoku,りょうきょく,両極,နှစ်ဖက်စွန်း
9317,ryōkin,りょうきん,料金,အခကြေးငွေ
9318,ryōkō(na),りょうこう（な）,良好（な）,ကောင်းမွန်သော
9319,ryōsaikembo,りょうさいけんぼ,良妻賢母,ဇနီးကောင်း
9320,ryōsan(suru),りょうさん（する）,量産（する）,အစုလိုက်အပုံလိုက်ထုတ်လုပ်ခြင်း
9321,ryōshi,りょうし,漁師,တံငါသည်
9322,ryōshi,りょうし,猟師,မုဆိုး
9323,ryōji,りょうじ,領事,ကောင်စစ်ဝန်
9324,ryōshiki,りょうしき,良識,မှန်ကန်သောတွေးတော်ဆုံးဖြတ်နိုင်စွမ်း
9325,ryōshitsu(na),りょうしつ（な）,良質（な）,အရည်အသွေးကောင်းသော
9326,ryōsha,りょうしゃ,両者,နှစ်ဦးနှစ်ဖက်
9327,ryōshū(suru),りょうしゅう（する）,領収（する）,လက်ခံရရှိခြင်း(ပိုက်ဆံ၊အခကြေးငွေ)
9328,ryōshūsho,りょうしゅうしょ,領収書,ပြေစာ
9329,ryōshō(suru),りょうしょう（する）,了承（する）,သဘောတူလက်ခံခြင်း
9330,ryōshin,りょうしん,良心,စိတ်ကောင်းစိတ်သန့်
9331,ryōshin,りょうしん,両親,မိဘနှစ်ပါး
9332,ryōchi,りょうち,領地,ပိုင်နက်
9333,ryōdo,りょうど,領土,ပိုင်နက်နယ်မြေ
9334,suzukaze,すずかぜ,涼風,လေညှင်း
9335,ryōhō,りょうほう,両方,နှစ်ခုစလုံး
9336,ryōmen,りょうめん,両面,နှစ်ဘက်စလုံး၊မျက်နှာပြင်နှစ်ခုစလုံး
9337,ryōyōsho,りょうようしょ,療養所,ဆေးကုသဆောင်
9338,ryōri(suru),りょうり（する）,料理（する）,ဟင်းလျာ
9339,ryōritsu(suru),りょうりつ（する）,両立（する）,နှစ်ခုစလုံးအထမြောက်ခြင်း
9340,riyokaku,りょかく,旅客,ခရီးသွားဧည့်သည်
9341,ryokan,りょかん,旅館,တည်းခိုခန်း
9342,riyokyaku,りょきゃく,旅客,ခရီးသွားဧည့်သည်
9343,ryokuka,りょくか,緑化,စိမ်းလန်းစိုပြေစေခြင်း
9344,ryoken,りょけん,旅券,နိုင်ငံကူးလက်မှတ်
9345,ryokō(suru),りょこう（する）,旅行（する）,ခရီးသွားခြင်း
9346,rirakkusu,リラックス,relax,စိတ်သက်သာခြင်း၊ကိုယ်စိတ်ပင်ပန်းမှုကိုဖြေလျော့ခြင်း
9347,ririku(suru),りりく（する）,離陸（する）,မြေပြင်မှပျံသန်းထွက်ခွာခြင်း
9348,rireki,りれき,履歴,ကိုယ်ရေးရာဇဝင်
9349,riron,りろん,理論,သဘောတရား
9350,rinkiōhen,りんきおうへん,臨機応変,အခြေအနေနှင့်လိုက်၍တုန့်ပြန်ဆောင်ရွက်ခြင်း
9351,ringyō,りんぎょう,林業,သစ်တောလုပ်ငန်း
9352,ringo(ringo),りんご（リンゴ）,,ပန်းသီး
9353,rinji,りんじ,臨時,ယာယီ၊အရေးပေါ်
9354,rinshō,りんしょう,臨床,ရောဂါရှာဖွေခြင်း
9355,rinjin,りんじん,隣人,အိမ်နီးနားချင်း
9356,rinsetsu(suru),りんせつ（する）,隣接（する）,စပ်ခြင်း၊နယ်မြေချင်းစပ်ခြင်း၊ထိကပ်ခြင်း
9357,rui,るい,類,အမျိုးအစား
9358,ruiji(suru),るいじ（する）,類似（する）,ခပ်ဆင်ဆင်တူခြင်း
9359,ruisui(suru),るいすい（する）,類推（する）,မှန်းဆချက်
9360,rūzu(na),ルーズ（な）,loose,လျော့တိလျော့ရဲနိုင်သော၊စည်းကမ်းမရှိသော
9361,rūto,ルート,route,လမ်းကြောင်း
9362,rūru,ルール,rule,စည်းကမ်း
9363,rusu,るす,留守,အိမ်မှာမရှိခြင်း
9364,rusuban(suru),るすばん（する）,留守番（する）,အိမ်စောင့်
9365,ruten(suru),るてん（する）,流転（する）,လောကဓံအနိမ့်အမြင့်အပြောင်းအလဲ
9366,rei,れい,礼,အရိုအသေပြုခြင်း
9367,rei,れい,零,သုည
9368,rei,れい,例,ဥပမာ
9369,reiauto,レイアウト,layout,ခင်းကျင်းခြင်း
9370,reigai,れいがい,例外,ခြွင်းချက်
9371,reigi,れいぎ,礼儀,လောကဝတ်
9372,reikoku(na),れいこく（な）,冷酷（な）,ရက်စက်သော
9373,reisai,れいさい,零細,သေးနုပ်သော၊သေးကွေးသော
9374,reijō,れいじょう,礼状,ကျေးဇူးတင်စာ
9375,reijō,れいじょう,令状,ဝရမ်း
9376,reisei(na),れいせい（な）,冷静（な）,တည်ငြိမ်သော
9377,reizō(suru),れいぞう（する）,冷蔵（する）,အအေးခံစေခြင်း
9378,reizōko,れいぞうこ,冷蔵庫,ရေခဲသေတ္တာ
9379,reitan(na),れいたん（な）,冷淡（な）,ပျူငှာခြင်းကင်းမဲ့သော၊အေးတိအေးစက်ဖြစ်သော
9380,reichōrui,れいちょうるい,霊長類,လူသားနှင့်မျောက်မျိုး
9381,reiten,れいてん,零点,သုညမှတ်
9382,reitō(suru),れいとう（する）,冷凍（する）,ရေခဲစေခြင်း
9383,reihai(suru),れいはい（する）,礼拝（する）,ရှိခိုးခြင်း၊ပူဇော်ခြင်း
9384,reibō(suru),れいぼう（する）,冷房（する）,လေအေးပေးခြင်း
9385,reinkōto,レインコート,raincoat,မိုးကာအင်္ကျီ
9386,rēsu,レース,,ဇာထိုးခြင်း
9387,rekishi,れきし,歴史,သမိုင်း
9388,regyurā,レギュラー,regular,ပုံမှန်၊အမြဲတမ်းပါဝင်ခြင်း(အရန်မဟုတ်)
9389,rekuriēshon,レクリエーション,recreation,အပန်းဖြေပျော်ရွှင်မှု
9390,rekōdo,レコード,record,မှတ်တမ်း၊ဓာတ်ပြား
9391,reji,レジ,register,စာရင်းတွက်ကောင်တာ
9392,reshīto,レシート,receipt,လက်ခံရရှိသောဖြတ်ပိုင်း
9393,rejā,レジャー,leisure,အပျော်အပါး
9394,rejume,レジュメ,resume,ကောက်နုတ်ချက်
9395,resutoran,レストラン,restaurant,စားသောက်ဆိုင်
9396,retasu,レタス,lettuce,ဆလပ်ရွက်
9397,retsu,れつ,列,အတန်း၊လိုင်း
9398,ressha,れっしゃ,列車,ရထားတွဲ
9399,ressun,レッスン,lesson,သင်ခန်းစာ
9400,rettō,れっとう,列島,ကျွန်းစု၊ကျွန်းတန်း
9401,redī,レディー,lady,အမျိုးသမီး
9402,rebā,レバー,lever,စက်မောင်းတံ
9403,reberu,レベル,level,အဆင့်
9404,repōto,レポート,report,အစီရင်ခံစာ
9405,ren'ai(suru),れんあい（する）,恋愛（する）,ဖိုမအချစ်
9406,renga,れんが,煉瓦,အုတ်
9407,renkyū,れんきゅう,連休,ရုံးပိတ်ရက်ဆက်ခြင်း၊ရေရှည်ပိတ်ရက်
9408,rengō,れんごう,連合,သမဂ္ဂ၊မဟာမိတ်
9409,rensa(suru),れんさ（する）,連鎖（する）,ကွင်းဆက်၊ပတ်သက်ဆက်စပ်ခြင်း
9410,renji,レンジ,range,မိုက်ခရိုဝေ့မီးဖို
9411,renjitsu,れんじつ,連日,နေ့စဥ်ရက်ဆက်
9412,renshū(suru),れんしゅう（する）,練習（する）,လေ့ကျင့်ခန်း
9413,renzu,レンズ,lens,မှန်ဘီလူး
9414,rensō(suru),れんそう（する）,連想（する）,ဆက်စပ်တွေးခေါ်ခြင်း
9415,renzoku(suru),れんぞく（する）,連続（する）,တဆက်တည်းဖြစ်ခြင်း
9416,rentai(suru),れんたい（する）,連帯（する）,ပူးတွဲလုပ်ဆောင်ခြင်း
9417,rentakā,レンタカー,rent a car,အငှားယာဥ်
9418,rentaru,レンタル,rental,ငှားရမ်းခြင်း
9419,renchū,れんちゅう,連中,ဘတ်တော်သား၊တပါတီတည်း၊အပေါင်းအဖော်
9420,rentogen,レントゲン,roentgen,ဓာတ်မှန်
9421,rempō,れんぽう,連邦,ပြည်ထောင်စု
9422,remmei,れんめい,連盟,မဟာမိတ်အသင်းအဖွဲ့
9423,renraku(suru),れんらく（する）,連絡（する）,ဆက်သွယ်ခြင်း
9424,ro,ろ,魯,လှော်တက်
9425,rōka,ろうか,廊下,စင်္ကြန်
9426,rōgo,ろうご,老後,အသက်ရလာပြီးနောက်ပိုင်း
9427,rōjin,ろうじん,老人,သက်ကြီးရွယ်အို
9428,rōsui(suru),ろうすい（する）,老衰（する）,အိုမင်းမစွမ်းဖြစ်ခြင်း
9429,rōsoku,ろうそく,蝋燭,ဖယောင်းတိုင်
9430,rōdō(suru),ろうどう（する）,労働（する）,အလုပ်လုပ်ခြင်း
9431,rōdoku(suru),ろうどく（する）,朗読（する）,စာအံခြင်း
9432,rōnyakunannyo,ろうにゃくなんにょ,老若男女,အသက်ရွယ်ကြီးရင့်သူများ၊ယောကျ်ားမိန်းမအားလုံး
9433,rōnen,ろうねん,老年,သက်ကြီးရွယ်အို
9434,rōhi(suru),ろうひ（する）,浪費（する）,ဖြုန်းတီးခြင်း၊အလဟဿသုံးစွဲခြင်း
9435,rōryoku,ろうりょく,労力,လုပ်အား
9436,rōrei,ろうれい,老齢,အသက်ကြီးခြင်း၊သက်ကြီးရွက်အို
9437,rōpu,ロープ,rope,ကြိုး
9438,rōpuwei,ロープウェイ,ropeway,ကောင်းကင်ရထား
9439,rōmaji,ローマじ,ローマ字,အင်္ဂလိပ်အက္ခရာ
9440,roku,ろく,六,ခြောက်
9441,rokuon(suru),ろくおん（する）,録音（する）,အသံသွင်းခြင်း
9442,rokuna(rokuni),ろくな（ろくに）,,လုံလုံလောက်လောက်(---ဘူး)
9443,roketto,ロケット,rocket,ဒုံးပျံ
9444,rokotsu(na),ろこつ（な）,露骨（な）,အားနာမှုမရှိဘဲပွင့်ပွင့်လင်းလင်းဖော်ပြသော
9445,roji,ろじ,路地,လမ်းကြား၊လမ်းသွယ်
9446,roshia,ロシア,Russia,ရရှားနိုင်ငံ
9447,rojō,ろじょう,路上,လမ်းပေါ်
9448,rosu(suru),ロス（する）,loss,ဆုံးရှုံးခြင်း
9449,rokkā,ロッカー,locker,ပစ္စည်းထည့်ရန်ဘီဒို
9450,rotemburo,ろてんぶろ,露天風呂,သဘာဝရေနွေးစိမ်ချိုးခန်း
9451,robī,ロビー,lobby,ဧည့်ခန်း
9452,robotto,ロボット,robot,စက်ရုပ်
9453,romanchikku(na),ロマンチック（な）,romantic,အချစ်နှင့်ဆိုင်သော၊အချစ်နှင့်သာယာသော
9454,〜ron,〜ろん,論,သဘောထား
9455,rongi(suru),ろんぎ（する）,論議（する）,ဆွေးနွေးမှု
9456,ronjiru,ろんじる,論じる,ဝေဖန်ပြောဆိုသည်
9457,ronsō(suru),ろんそう（する）,論争（する）,အခြေအတင်ပြောဆိုခြင်း
9458,rombun,ろんぶん,論文,စာတမ်း
9459,ronri,ろんり,論理,ဆင်ခြင်တုံတရား
9460,ronriteki(na),ろんりてき（な）,論理的（な）,ကျိုးကြောင်းညီညွှတ်သော
9461,wa,わ,輪,အဝိုင်း
9462,〜wa,〜わ,羽,ကောင်(ငှက်ကိုရေတွက်)
9463,wa〜,わ〜,和〜,ဂျပန်စတိုင်လ်
9464,wākushoppu,ワークショップ,workshop,လက်တွေ့သင်တန်း
9465,wāpuro,ワープロ,word processor,စာစီစာရိုက်စက်
9466,waishatsu,ワイシャツ,white shirt,ရှပ်အင်္ကျီ
9467,wain,ワイン,wine,ဝိုင်အရက်
9468,kazuhide,かずひで,和英,ဂျပန်အင်္ဂလိပ်
9469,waga〜,わが〜,我,ကျွန်ုပ်တို့
9470,wakai,わかい,若い,ငယ်ရွယ်သော
9471,wakai(suru),わかい（する）,和解（する）,ပြေငြိမ်းခြင်း၊ကြေအေးခြင်း
9472,wakasu,わかす,沸かす,ရေနွေးကျိုသည်
9473,wagamama(na),わがまま（な）,,တကိုယ်ကောင်းဆန်သော
9474,wakamono,わかもの,若者,လူငယ်
9475,wakariyasui,わかりやすい,,နားလည်လွယ်သော
9476,wakaru,わかる,分かる,နားလည်သဘောပေါက်သည်
9477,wakare,わかれ,別れ,ကွဲကွာမှု
9478,wakareru,わかれる,別れる,ကွဲကွာသည်
9479,wakawakashii,わかわかしい,若々しい,အရွယ်တင်သော
9480,waki,わき,脇,ချိုင်း
9481,waku,わく,枠,ဘောင်
9482,waku,わく,沸く,ဆူပွက်သည်
9483,wakusei,わくせい,惑星,ဂြိုလ်
9484,wake,わけ,訳,အကြောင်းရင်း၊အကျိုးအကြောင်း
9485,wakeru,わける,分ける,ခွဲဝေသည်
9486,wagomu,わゴム,輪ゴム,သရေကွင်း
9487,waza,わざ,技,စွမ်းရည်၊ကျင်လည်မှု
9488,wazato,わざと,,တမင်သက်သက်
9489,wazatorashii,わざとらしい,,တမင်တကာဖြစ်သော
9490,wazawaza,わざわざ,,တကူးတက
9491,washi(inuwashi),わし（イヌワシ）,鷲,လင်းယုန်
9492,washitsu,わしつ,和室,ဂျပန်စတိုင်လ်အခန်း
9493,washoku,わしょく,和食,ဂျပန်အစားအစာ
9494,wazuka(na),わずか（な）,僅か（な）,အနည်းငယ်မျှသာဖြစ်သော
9495,wazurau,わずらう,患う,ရောဂါစွဲကပ်သည်
9496,wazurawashii,わずらわしい,煩わしい,ရှုပ်ထွေးသော၊အလုပ်ရှုပ်သော
9497,wasuremono(suru),わすれもの（する）,忘れ物（する）,မေ့ကုန်ပစ္စည်း
9498,wasureru,わすれる,忘れる,မေ့သည်
9499,wata,わた,棉,ဝါဂွမ်း
9500,wadai,わだい,話題,အကြောင်းအရာ၊ခေါင်းစဥ်
9501,watashi,わたし,私,ကျွန်တော်၊ကျွန်မ
9502,watasu,わたす,渡す,ပေးကမ်းသည်
9503,wataridori,わたりどり,渡り鳥,ဆောင်းခိုငှက်
9504,wataru,わたる,渡る,ဖြတ်ကူးသည်
9505,watto,ワット,watt,ဓာတ်အားယူနစ်၊လျှပ်စစ်သုံးစွဲပမာဏ
9506,wana,わな,罠,ထောင်ချောက်
9507,wabi,わび,詫び,တောင်းပန်ခြင်း
9508,wabiru,わびる,詫びる,တောင်းပန်သည်
9509,wafū,わふう,和風,ဂျပန်စတိုင်လ်
9510,wafuku,わふく,和服,ဂျပန်ဝတ်စုံ
9511,wabun,わぶん,和文,ဂျပန်စာကြောင်း
9512,wara,わら,藁,ကောက်ရိုး
9513,warai,わらい,笑い,ရယ်မောခြင်း
9514,warau,わらう,笑う,ရယ်မောသည်
9515,〜wari,〜わり,割,--ရာခိုင်နှုန်း
9516,wariai,わりあい,割合,အချိုးအစား၊နှုန်း
9517,wariai(ni),わりあい（に）,割合（に）,နှိုင်းယှဥ်ခြင်းအားဖြင့်
9518,wariate,わりあて,割当,လျာထားချက်၊အခွင့်အရေးခွဲဝေပေးခြင်း
9519,warikan,わりかん,割り勘,စရိတ်မျှပေးခြင်း၊ကုန်ကျစရိတ်မျှပေးခြင်း
9520,warikomu,わりこむ,割込む,ကြားဖြတ်ဝင်ရောက်သည်
9521,warizan(suru),わりざん（する）,割算（する）,ကိန်းကဏန်းစားခြင်း
9522,warito,わりと,割と,ထင်တာထက်
9523,wariniau,わりにあう,割に合う,စျေးတန်သည်
9524,waribashi,わりばし,割り箸,တစ်ခါသုံးတူ
9525,waribiki(suru),わりびき（する）,割引（する）,စျေးလျှော့ခြင်း
9526,wariyasu,わりやす,割安,စျေးသက်သာခြင်း
9527,wareru,われる,割る,ခွဲခြမ်းသည်
9528,warui,わるい,悪い,ဆိုးရွားသော၊အားနာသော
9529,waruguchi,わるぐち,悪口,မကောင်းမှုကိုပြောဆိုခြင်း၊အတင်းပြောခြင်း
9530,warumono,わるもの,悪者,လူဆိုး
9531,waga,わが,我,ကျွန်တော်
9532,wareru,われる,割れる,ကွဲသည်
9533,wareware,われわれ,我々,ကျွန်တော်တို့၊ကျွန်မတို့
9534,wan,わん,湾,ပင်လယ်ကွေ့
9535,wan/wan,わん／わん,椀／碗,ခွက်၊ပန်းကန်လုံး
9536,wankyoku(suru),わんきょく（する）,湾曲（する）,ကွေ့ကောက်ခြင်း၊ကွေးခြင်း
9537,wampīsu,ワンピース,one-piece dress,တဆက်တည်းဝတ်စုံ၊ဂါဝန်
9538,wanryoku,わんりょく,腕力,လက်မောင်းအား
9539,dansei,だんせい,男性,အမျိုးသား
9540,josei,じょせい,女性,အမျိုးသမီး
9541,kōrei,こうれい,高齢,အသက်ကြီးပိုင်း
9542,toshiue,としうえ,年上,ကိုယ့်ထက်အသက်ကြီးသူ၊ဝါကြီးသူ
9543,meue,めうえ,目上,ရာထူးကြီးသူ၊ကိုယ့်ထက်အသက်ကြီးသူ
9544,senpai,せんぱい,先輩,ဝါရင့်သူ
9545,kōhai,こうはい,後輩,နောက်လိုက်
9546,jōshi,じょうし,上司,အထက်အရာရှိ
9547,aite,あいて,相手,တဖက်လူ။ တဘက်သား။
9548,shiriai,しりあい,知り合い,အသိမိတ်ဆွေ
9549,yuujin,ゆうじん,友人,သူငယ်ချင်း
9550,naka,なか,仲,ခင်မင်ရင်းနှီးခြင်း
9551,seinengatsupi,せいねんがっぴ,生年月日,မွေးနေ့သက္ကရာဇ်
9552,tanjō,たんじょう,誕生,မွေးဖွားခြင်း
9553,toshi,とし,年,အသက်အရွယ်
9554,shutsushin,しゅっしん,出身,မွေးရာဇာတိ
9555,kokyō,こきょう,故郷,မွေးရပ်မြေ၊ဇာတိ
9556,seichō,せいちょう,成長,ကြီးထွားလာခြင်း(သက်ရှိသတ္တဝါ)
9557,seijin,せいじん,成人,အရွယ်ရောက်သူ၊လူလားမြောက်သူ
9558,goukaku,ごうかく,合格,အောင်မြင်မှု၊ စာမေးပွဲအောင်ခြင်း၊စံချိန်မှီခြင်း
9559,shingaku,しんがく,進学,အတန်းတက်သည်၊ကျောင်းဆက်တက်ခြင်း
9560,taigaku,たいがく,退学,ကျောင်းထွက်ခြင်း
9561,shūshoku,しゅうしょく,就職,အလုပ်ဝင်ခြင်း
9562,taishoku,たいしょく,退職,အလုပ်မှထွက်ခြင်း၊အငြိမ်းစားယူခြင်း
